Eval, Episode: 187000, Wins: {<Player.LIGHT: 0>: 97, <Player.DARK: 1>: 3, <Player.EMPTY: 2>: 0}
Eval, Episode: 188000, Wins: {<Player.LIGHT: 0>: 77, <Player.DARK: 1>: 23, <Player.EMPTY: 2>: 0}
Eval, Episode: 189000, Wins: {<Player.LIGHT: 0>: 83, <Player.DARK: 1>: 17, <Player.EMPTY: 2>: 0}
Eval, Episode: 190000, Wins: {<Player.LIGHT: 0>: 63, <Player.DARK: 1>: 37, <Player.EMPTY: 2>: 0}
Eval, Episode: 191000, Wins: {<Player.LIGHT: 0>: 70, <Player.DARK: 1>: 30, <Player.EMPTY: 2>: 0}
Eval, Episode: 192000, Wins: {<Player.LIGHT: 0>: 79, <Player.DARK: 1>: 21, <Player.EMPTY: 2>: 0}
Eval, Episode: 193000, Wins: {<Player.LIGHT: 0>: 84, <Player.DARK: 1>: 16, <Player.EMPTY: 2>: 0}
Eval, Episode: 194000, Wins: {<Player.LIGHT: 0>: 95, <Player.DARK: 1>: 5, <Player.EMPTY: 2>: 0}
Eval, Episode: 195000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 196000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 197000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 198000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 199000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 200000, Wins: {<Player.LIGHT: 0>: 98, <Player.DARK: 1>: 2, <Player.EMPTY: 2>: 0}
Eval, Episode: 201000, Wins: {<Player.LIGHT: 0>: 98, <Player.DARK: 1>: 2, <Player.EMPTY: 2>: 0}
Eval, Episode: 202000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 203000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 204000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 205000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 206000, Wins: {<Player.LIGHT: 0>: 97, <Player.DARK: 1>: 3, <Player.EMPTY: 2>: 0}
Eval, Episode: 207000, Wins: {<Player.LIGHT: 0>: 98, <Player.DARK: 1>: 2, <Player.EMPTY: 2>: 0}
Eval, Episode: 208000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 209000, Wins: {<Player.LIGHT: 0>: 97, <Player.DARK: 1>: 3, <Player.EMPTY: 2>: 0}
Eval, Episode: 210000, Wins: {<Player.LIGHT: 0>: 97, <Player.DARK: 1>: 3, <Player.EMPTY: 2>: 0}
Eval, Episode: 211000, Wins: {<Player.LIGHT: 0>: 95, <Player.DARK: 1>: 5, <Player.EMPTY: 2>: 0}
Eval, Episode: 212000, Wins: {<Player.LIGHT: 0>: 98, <Player.DARK: 1>: 2, <Player.EMPTY: 2>: 0}
Eval, Episode: 213000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 214000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 215000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 216000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 217000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 218000, Wins: {<Player.LIGHT: 0>: 98, <Player.DARK: 1>: 2, <Player.EMPTY: 2>: 0}
Eval, Episode: 219000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 220000, Wins: {<Player.LIGHT: 0>: 97, <Player.DARK: 1>: 3, <Player.EMPTY: 2>: 0}
Eval, Episode: 221000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 222000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 223000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 224000, Wins: {<Player.LIGHT: 0>: 98, <Player.DARK: 1>: 2, <Player.EMPTY: 2>: 0}
Eval, Episode: 225000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 226000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 227000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 228000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 229000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 230000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 231000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 232000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 233000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 234000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 235000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 236000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 237000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 238000, Wins: {<Player.LIGHT: 0>: 98, <Player.DARK: 1>: 2, <Player.EMPTY: 2>: 0}
Eval, Episode: 239000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 240000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 241000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 242000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 243000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 244000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 245000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 246000, Wins: {<Player.LIGHT: 0>: 98, <Player.DARK: 1>: 2, <Player.EMPTY: 2>: 0}
Eval, Episode: 247000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 248000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 249000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 250000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 251000, Wins: {<Player.LIGHT: 0>: 98, <Player.DARK: 1>: 2, <Player.EMPTY: 2>: 0}
Eval, Episode: 252000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
Eval, Episode: 253000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 254000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 255000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 256000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 257000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 258000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 259000, Wins: {<Player.LIGHT: 0>: 100, <Player.DARK: 1>: 0, <Player.EMPTY: 2>: 0}
Eval, Episode: 260000, Wins: {<Player.LIGHT: 0>: 99, <Player.DARK: 1>: 1, <Player.EMPTY: 2>: 0}
